,0
2369,24089
2370,24096
2371,24097
2372,24110
2373,24117
2374,24124
2375,24127
2376,24134
2377,24151
2378,24156
2379,24211
2380,24213
2381,24219
2382,24237
2383,24241
2384,24246
2385,24255
2386,24258
2387,24267
2388,24272
2389,24275
2390,24286
2391,24287
2392,24310
2393,24317
2394,24339
2395,24343
2396,24347
2397,24364
2398,24384
2399,24385
2400,24386
2401,24423
2402,24455
2403,24459
2404,24490
2405,24502
2406,24516
2407,24524
2408,24528
2409,24552
2410,24562
2411,24563
2412,24570
2413,24583
2414,24591
2415,24594
2416,24602
2417,24603
2418,24611
2419,24618
2420,24621
2421,24627
2422,24638
2423,24655
2424,24678
2425,24683
2426,24707
2427,24715
2428,24746
2429,24775
2430,24777
2431,24789
2432,24794
2433,24802
2434,24822
2435,24833
2436,24835
2437,24840
2438,24850
2439,24863
2440,24864
2441,24865
2442,24901
2443,24910
2444,24936
2445,24964
2446,24965
2447,24980
2448,24997
2449,25010
2450,25036
2451,25053
2452,25072
2453,25081
2454,25088
2455,25103
2456,25106
2457,25111
2458,25122
2459,25123
2460,25130
2461,25137
2462,25139
2463,25149
2464,25157
2465,25166
2466,25194
2467,25215
2468,25220
2469,25221
2470,25231
2471,25236
2472,25248
2473,25259
2474,25262
2475,25267
2476,25275
2477,25279
2478,25294
2479,25310
2480,25328
2481,25329
2482,25339
2483,25340
2484,25362
2485,25365
2486,25371
2487,25375
2488,25386
2489,25393
2490,25394
2491,25405
2492,25406
2493,25446
2494,25461
2495,25469
2496,25480
2497,25494
2498,25504
2499,25527
2500,25536
2501,25541
2502,25565
2503,25602
2504,25611
2505,25615
2506,25626
2507,25640
2508,25643
2509,25655
2510,25659
2511,25661
2512,25688
2513,25690
